slug,url,name,category,category_slug,calories,protein_g,total_fat_g,total_carb_g,dietary_fiber_g,sugars_g,sodium_mg,cholesterol_mg,scraped_at
doritos-tortilla-chips-spicy-nacho-spicy-nacho,https://caloriedata.org/calories-in/doritos-tortilla-chips-spicy-nacho-spicy-nacho,"DORITOS, TORTILLA CHIPS, SPICY NACHO, SPICY NACHO",Snacks,snacks,500.0,7.14,28.6,57.1,3.6,0.0,679.0,0.0,2026-05-04T03:05:07Z
doritos-tortilla-chips-taco-taco,https://caloriedata.org/calories-in/doritos-tortilla-chips-taco-taco,"DORITOS, TORTILLA CHIPS, TACO, TACO",Snacks,snacks,500.0,7.14,28.6,57.1,3.6,0.0,607.0,0.0,2026-05-04T03:05:07Z
doritos-tortilla-chips-toasted-corn-toasted-corn,https://caloriedata.org/calories-in/doritos-tortilla-chips-toasted-corn-toasted-corn,"DORITOS, TORTILLA CHIPS, TOASTED CORN, TOASTED CORN",Snacks,snacks,500.0,7.14,25.0,64.3,3.6,0.0,429.0,0.0,2026-05-04T03:05:08Z
dragon-fruit,https://caloriedata.org/calories-in/dragon-fruit,Dragon Fruit,Fruits,fruits,50.0,0.9,0.6,11.0,1.8,8.0,38.0,0.0,2026-05-04T03:04:58Z
duck,https://caloriedata.org/calories-in/duck,Duck,Proteins & Meats,proteins,337.0,19.0,28.0,0.0,0.0,0.0,75.0,0.0,2026-05-04T03:04:58Z
durian,https://caloriedata.org/calories-in/durian,Durian,Fruits,fruits,147.0,1.5,5.3,27.0,3.8,10.0,2.0,0.0,2026-05-04T03:04:58Z
edam-cheese,https://caloriedata.org/calories-in/edam-cheese,Edam Cheese,Dairy,dairy,357.0,27.0,28.0,1.4,0.0,0.0,821.0,0.0,2026-05-04T03:04:58Z
edamame,https://caloriedata.org/calories-in/edamame,Edamame,Vegetables,vegetables,121.0,12.0,5.2,9.0,5.2,2.2,6.0,0.0,2026-05-04T03:04:58Z
eel,https://caloriedata.org/calories-in/eel,Eel,Proteins & Meats,proteins,236.0,18.0,15.0,0.0,0.0,0.0,58.0,0.0,2026-05-04T03:04:58Z
egg,https://caloriedata.org/calories-in/egg,Egg,Proteins & Meats,proteins,155.0,13.0,11.0,1.1,0.0,1.1,124.0,0.0,2026-05-04T03:04:59Z
eggplant,https://caloriedata.org/calories-in/eggplant,Eggplant,Vegetables,vegetables,25.0,0.98,0.2,6.0,3.0,2.4,2.0,0.0,2026-05-04T03:04:59Z
elk,https://caloriedata.org/calories-in/elk,Elk,Proteins & Meats,proteins,126.0,26.0,3.0,0.0,0.0,0.0,60.0,0.0,2026-05-04T03:04:59Z
energy-drink,https://caloriedata.org/calories-in/energy-drink,Energy Drink,Beverages,beverages,45.0,0.3,0.0,11.0,0.0,10.6,80.0,0.0,2026-05-04T03:04:59Z
english-muffin,https://caloriedata.org/calories-in/english-muffin,English Muffin,Grains & Cereals,grains,227.0,8.9,2.1,44.0,2.7,3.9,386.0,0.0,2026-05-04T03:05:00Z
enoki-mushroom,https://caloriedata.org/calories-in/enoki-mushroom,Enoki Mushroom,Vegetables,vegetables,37.0,2.7,0.3,6.9,2.7,0.2,12.0,0.0,2026-05-04T03:05:00Z
fage-nonfat-greek-strained-yogurt-blueberry,https://caloriedata.org/calories-in/fage-nonfat-greek-strained-yogurt-blueberry,"FAGE, NONFAT GREEK STRAINED YOGURT, BLUEBERRY",Dairy,dairy,80.0,8.67,0.0,11.3,0.0,10.7,30.0,0.0,2026-05-04T03:05:00Z
falafel,https://caloriedata.org/calories-in/falafel,Falafel,Snacks,snacks,333.0,5.4,17.0,32.0,8.8,1.3,246.0,0.0,2026-05-04T03:05:00Z
farro,https://caloriedata.org/calories-in/farro,Farro,Grains & Cereals,grains,327.0,17.0,2.4,65.0,7.0,1.9,4.0,0.0,2026-05-04T03:05:01Z
fava-beans,https://caloriedata.org/calories-in/fava-beans,Fava Beans,Grains & Cereals,grains,90.0,8.0,0.4,16.0,2.5,0.8,1.0,0.0,2026-05-04T03:05:01Z
feijoa,https://caloriedata.org/calories-in/feijoa,Feijoa,Fruits,fruits,44.0,0.7,0.4,10.0,2.2,5.0,1.0,0.0,2026-05-04T03:05:01Z
fennel,https://caloriedata.org/calories-in/fennel,Fennel,Vegetables,vegetables,31.0,1.2,0.2,7.0,3.1,4.6,52.0,0.0,2026-05-04T03:05:01Z
feta-cheese,https://caloriedata.org/calories-in/feta-cheese,Feta Cheese,Dairy,dairy,265.0,14.0,21.0,3.7,0.0,0.4,1116.0,0.0,2026-05-04T03:05:01Z
fish-and-chips,https://caloriedata.org/calories-in/fish-and-chips,Fish and Chips,Fast Food,fast-food,235.0,12.0,11.0,22.0,1.5,0.5,420.0,0.0,2026-05-04T03:05:01Z
fish-sauce,https://caloriedata.org/calories-in/fish-sauce,Fish Sauce,Snacks,snacks,70.0,26.0,0.1,0.0,0.0,0.0,5400.0,0.0,2026-05-04T03:05:02Z
flaxseed,https://caloriedata.org/calories-in/flaxseed,Flaxseed,Nuts & Seeds,nuts-seeds,534.0,18.0,42.0,29.0,27.0,1.6,30.0,,2026-05-04T03:05:02Z
flaxseeds,https://caloriedata.org/calories-in/flaxseeds,Flaxseeds,Nuts & Seeds,nuts-seeds,534.0,18.0,42.0,29.0,27.0,1.6,30.0,,2026-05-04T03:05:02Z
french-fries,https://caloriedata.org/calories-in/french-fries,French Fries,Fast Food,fast-food,365.0,3.4,17.0,48.0,4.2,0.3,246.0,,2026-05-04T03:05:02Z
fried-chicken,https://caloriedata.org/calories-in/fried-chicken,Fried Chicken,Fast Food,fast-food,246.0,18.0,15.0,10.0,0.4,0.3,630.0,0.0,2026-05-04T03:05:03Z
fried-rice,https://caloriedata.org/calories-in/fried-rice,Fried Rice,Fast Food,fast-food,163.0,4.3,5.2,25.0,0.8,0.6,390.0,0.0,2026-05-04T03:05:03Z
frosted-cheerios-cereal,https://caloriedata.org/calories-in/frosted-cheerios-cereal,Frosted Cheerios Cereal,Grains & Cereals,grains,387.0,9.68,4.84,80.6,6.5,32.3,548.0,0.0,2026-05-04T03:05:03Z
frozen-yogurt,https://caloriedata.org/calories-in/frozen-yogurt,Frozen Yogurt,Desserts,desserts,127.0,3.5,3.5,22.0,0.0,18.0,60.0,0.0,2026-05-04T03:05:03Z
garlic,https://caloriedata.org/calories-in/garlic,Garlic,Vegetables,vegetables,149.0,0.6,0.5,33.0,2.1,1.0,17.0,0.0,2026-05-04T03:05:04Z
gatorade,https://caloriedata.org/calories-in/gatorade,Gatorade,Beverages,beverages,26.0,0.0,0.0,6.7,0.0,5.8,41.0,0.0,2026-05-04T03:05:04Z
gatorade-end-zone-berry-32oz-12-ct-berry,https://caloriedata.org/calories-in/gatorade-end-zone-berry-32oz-12-ct-berry,"GATORADE  END ZONE BERRY 32OZ 12 CT, BERRY",Beverages,beverages,22.0,0.0,0.0,6.11,0.0,5.83,44.0,,2026-05-04T03:05:04Z
gatorade-frost-thirst-quencher-12-fl-oz-28-count,https://caloriedata.org/calories-in/gatorade-frost-thirst-quencher-12-fl-oz-28-count,"GATORADE FROST THIRST QUENCHER, 12 FL OZ, 28 COUNT",Beverages,beverages,22.0,0.0,0.0,5.83,0.0,5.83,44.0,,2026-05-04T03:05:04Z
gatorade-thirst-quencher-12-fl-oz-18-count,https://caloriedata.org/calories-in/gatorade-thirst-quencher-12-fl-oz-18-count,"GATORADE THIRST QUENCHER, 12 FL OZ, 18 COUNT",Beverages,beverages,22.0,0.0,0.0,6.11,0.0,5.83,44.0,,2026-05-04T03:05:04Z
